state,start_timestamp,end_timestamp,num_trades,avg_confidence
overtrader,2025-03-01 09:30:00,2025-03-01 09:35:20,13,0.9857200756886475
loss_averse,2025-03-01 09:35:30,2025-03-01 09:37:00,4,0.9678046440263048
overtrader,2025-03-01 09:37:30,2025-03-01 13:55:40,489,0.9999988666980721
revenge,2025-03-01 13:56:40,2025-03-01 14:17:40,22,0.8957726561255472
calm,2025-03-01 14:18:40,2025-03-01 14:18:40,1,0.7022438457336047
revenge,2025-03-01 14:19:40,2025-03-01 18:51:40,273,0.8375650743310354
calm,2025-03-01 18:52:40,2025-03-01 18:52:40,1,0.8282794931102342
revenge,2025-03-01 18:53:40,2025-03-01 20:19:40,87,0.8913797698035518
calm,2025-03-01 20:20:40,2025-03-01 20:20:40,1,0.9864980769066631
revenge,2025-03-01 20:21:40,2025-03-01 21:44:40,84,0.87858140033186
loss_averse,2025-03-01 21:45:40,2025-03-01 21:58:40,14,0.8094813853537967
revenge,2025-03-01 21:59:40,2025-03-01 22:45:40,47,0.7679547338692058
calm,2025-03-01 22:46:40,2025-03-01 22:46:40,1,0.9999662833351525
revenge,2025-03-01 22:47:40,2025-03-01 22:54:40,8,0.9299062436338351
calm,2025-03-01 22:55:40,2025-03-01 22:56:40,2,0.9500399244855243
revenge,2025-03-01 22:57:40,2025-03-01 23:42:40,46,0.9069618756635797
loss_averse,2025-03-01 23:43:40,2025-03-01 23:45:40,3,0.999641289380023
revenge,2025-03-01 23:46:40,2025-03-02 00:54:40,69,0.7596643031823542
calm,2025-03-02 00:55:40,2025-03-02 00:59:40,5,0.7615456505200716
revenge,2025-03-02 01:00:40,2025-03-02 02:04:40,65,0.8469487840712366
calm,2025-03-02 02:05:40,2025-03-02 02:05:40,1,0.5098126474414207
revenge,2025-03-02 02:06:40,2025-03-02 02:46:40,41,0.8211240749759984
loss_averse,2025-03-02 02:47:40,2025-03-02 02:47:40,1,0.9606858383401776
revenge,2025-03-02 02:48:40,2025-03-02 02:49:50,3,0.6388759289959282
loss_averse,2025-03-02 02:50:10,2025-03-02 02:54:30,8,0.786751174088493
revenge,2025-03-02 02:54:40,2025-03-02 02:54:40,1,0.6066153877011843
overtrader,2025-03-02 02:55:10,2025-03-02 03:13:40,30,0.9999999989999999
revenge,2025-03-02 03:14:40,2025-03-02 03:30:40,17,0.8522810677319592
calm,2025-03-02 03:31:40,2025-03-02 03:31:40,1,0.9993458993979923
revenge,2025-03-02 03:32:40,2025-03-02 03:42:20,14,0.8626541721264674
overtrader,2025-03-02 03:42:30,2025-03-02 09:42:50,736,0.9999994708653029
revenge,2025-03-02 09:43:50,2025-03-02 10:41:50,59,0.7520349786116047
calm,2025-03-02 10:42:50,2025-03-02 10:42:50,1,0.9924889025032398
revenge,2025-03-02 10:43:50,2025-03-02 10:46:50,4,0.6974492877186228
calm,2025-03-02 10:47:50,2025-03-02 10:48:50,2,0.76318246789584
revenge,2025-03-02 10:49:50,2025-03-02 12:44:50,116,0.8220464067319274
calm,2025-03-02 12:45:50,2025-03-02 12:46:50,2,0.8670205911598472
revenge,2025-03-02 12:47:50,2025-03-02 13:02:50,16,0.5582436579606133
loss_averse,2025-03-02 13:03:50,2025-03-02 13:16:50,14,0.8498548205960027
revenge,2025-03-02 13:17:50,2025-03-02 13:17:50,1,0.45989983332234596
loss_averse,2025-03-02 13:18:50,2025-03-02 13:19:50,2,0.8902592537431366
revenge,2025-03-02 13:20:50,2025-03-02 13:23:50,4,0.638914047009509
loss_averse,2025-03-02 13:24:50,2025-03-02 13:24:50,1,0.5411322765632178
revenge,2025-03-02 13:25:50,2025-03-02 13:53:50,29,0.8699641867654975
calm,2025-03-02 13:54:50,2025-03-02 13:54:50,1,0.9728981720733112
revenge,2025-03-02 13:55:50,2025-03-02 14:17:50,23,0.8786770809254807
loss_averse,2025-03-02 14:18:50,2025-03-02 14:18:50,1,0.8357097546572095
revenge,2025-03-02 14:19:50,2025-03-02 16:02:50,104,0.8583372306722469
loss_averse,2025-03-02 16:03:50,2025-03-02 16:09:50,7,0.9747424353303495
revenge,2025-03-02 16:10:50,2025-03-02 17:01:50,52,0.8469302861356264
calm,2025-03-02 17:02:50,2025-03-02 17:02:50,1,0.97795178463034
revenge,2025-03-02 17:03:50,2025-03-02 22:23:50,321,0.8394911123234323
calm,2025-03-02 22:24:50,2025-03-02 22:24:50,1,0.9870884681345575
revenge,2025-03-02 22:25:50,2025-03-02 22:32:50,8,0.8486318233485404
calm,2025-03-02 22:33:50,2025-03-02 22:33:50,1,0.9998860870425915
revenge,2025-03-02 22:34:50,2025-03-03 01:25:50,172,0.8061801848496487
loss_averse,2025-03-03 01:26:50,2025-03-03 01:35:50,10,0.8981346124449676
revenge,2025-03-03 01:36:50,2025-03-03 01:38:50,3,0.8411596222614196
loss_averse,2025-03-03 01:39:50,2025-03-03 01:39:50,1,0.9999334751664817
revenge,2025-03-03 01:40:50,2025-03-03 01:41:50,2,0.8276891509194138
loss_averse,2025-03-03 01:42:50,2025-03-03 01:43:50,2,0.9868185666025847
revenge,2025-03-03 01:44:50,2025-03-03 02:15:50,32,0.8310476216860064
calm,2025-03-03 02:16:50,2025-03-03 02:16:50,1,0.6139690292852091
revenge,2025-03-03 02:17:50,2025-03-03 02:34:50,18,0.8539060240577082
calm,2025-03-03 02:35:50,2025-03-03 02:35:50,1,0.5046549258077068
revenge,2025-03-03 02:36:50,2025-03-03 04:31:50,116,0.8388918965141047
calm,2025-03-03 04:32:50,2025-03-03 04:33:50,2,0.6069541053225868
revenge,2025-03-03 04:34:50,2025-03-03 05:47:50,74,0.8092069046925106
calm,2025-03-03 05:48:50,2025-03-03 05:48:50,1,0.9239429238237593
revenge,2025-03-03 05:49:50,2025-03-03 08:21:50,153,0.8500968225248114
calm,2025-03-03 08:22:50,2025-03-03 08:22:50,1,0.7241345368415276
revenge,2025-03-03 08:23:50,2025-03-03 11:09:50,169,0.8412728872268196
loss_averse,2025-03-03 11:10:20,2025-03-03 11:10:20,1,0.9723618067816965
revenge,2025-03-03 11:11:20,2025-03-03 11:15:10,7,0.7174443790989997
overtrader,2025-03-03 11:15:40,2025-03-03 13:19:30,241,0.9999999989999999
loss_averse,2025-03-03 13:19:40,2025-03-03 13:19:40,1,0.9999999989999999
overtrader,2025-03-03 13:20:10,2025-03-03 16:23:30,360,0.9999994682923442
revenge,2025-03-03 16:24:30,2025-03-03 16:29:30,6,0.8473205576665834
loss_averse,2025-03-03 16:30:30,2025-03-03 16:33:30,4,0.9250258016813238
revenge,2025-03-03 16:34:30,2025-03-03 16:37:30,4,0.8132210905471182
loss_averse,2025-03-03 16:38:30,2025-03-03 16:38:30,1,0.7178724160031861
revenge,2025-03-03 16:39:30,2025-03-03 16:41:30,3,0.7546411047413537
loss_averse,2025-03-03 16:42:30,2025-03-03 16:57:30,16,0.8705298827447814
revenge,2025-03-03 16:58:30,2025-03-03 17:23:30,26,0.8419175309695645
loss_averse,2025-03-03 17:24:30,2025-03-03 17:24:30,1,0.6646992632920876
revenge,2025-03-03 17:25:30,2025-03-03 17:25:30,1,0.5413787680638169
loss_averse,2025-03-03 17:26:30,2025-03-03 17:26:30,1,0.5378856860075485
revenge,2025-03-03 17:27:30,2025-03-03 17:27:30,1,0.5446860248241464
loss_averse,2025-03-03 17:28:30,2025-03-03 17:29:30,2,0.7626391470843015
revenge,2025-03-03 17:30:30,2025-03-03 17:30:30,1,0.5879052911659707
loss_averse,2025-03-03 17:31:30,2025-03-03 17:31:30,1,0.8790183576235389
revenge,2025-03-03 17:32:30,2025-03-03 17:32:30,1,0.4857615944886901
loss_averse,2025-03-03 17:33:30,2025-03-03 17:33:30,1,0.6787370056298676
revenge,2025-03-03 17:34:30,2025-03-03 17:36:30,3,0.750946478329189
loss_averse,2025-03-03 17:37:30,2025-03-03 17:39:30,3,0.7682966421408705
revenge,2025-03-03 17:40:30,2025-03-03 23:16:30,337,0.8477045382756362
calm,2025-03-03 23:17:30,2025-03-03 23:17:30,1,0.8731287947639419
revenge,2025-03-03 23:18:30,2025-03-03 23:29:30,12,0.7639311165938242
calm,2025-03-03 23:30:30,2025-03-03 23:33:30,4,0.7605771714601931
revenge,2025-03-03 23:34:30,2025-03-04 00:45:30,72,0.8522586173849577
loss_averse,2025-03-04 00:46:30,2025-03-04 00:46:30,1,0.842711655487168
revenge,2025-03-04 00:47:30,2025-03-04 02:15:30,89,0.8721343749676607
loss_averse,2025-03-04 02:16:30,2025-03-04 02:18:30,3,0.8546645490305017
revenge,2025-03-04 02:19:30,2025-03-04 02:19:30,1,0.8515609722593138
loss_averse,2025-03-04 02:20:30,2025-03-04 02:21:30,2,0.9999999978013471
revenge,2025-03-04 02:22:30,2025-03-04 02:25:30,4,0.8220183967491899
loss_averse,2025-03-04 02:26:30,2025-03-04 02:26:30,1,0.594367913790182
revenge,2025-03-04 02:27:30,2025-03-04 02:27:30,1,0.5509918659649029
loss_averse,2025-03-04 02:28:30,2025-03-04 02:28:30,1,0.5832940515147518
revenge,2025-03-04 02:29:30,2025-03-04 03:20:30,52,0.8420601926448035
calm,2025-03-04 03:21:30,2025-03-04 03:21:30,1,0.6829180892530997
revenge,2025-03-04 03:22:30,2025-03-04 03:34:30,13,0.8836014308445679
loss_averse,2025-03-04 03:35:30,2025-03-04 03:45:30,11,0.9582591694015228
revenge,2025-03-04 03:46:30,2025-03-04 04:09:30,24,0.8613323634926756
calm,2025-03-04 04:10:30,2025-03-04 04:11:30,2,0.9696542275911713
revenge,2025-03-04 04:12:30,2025-03-04 04:29:50,19,0.8206269126465683
loss_averse,2025-03-04 04:30:20,2025-03-04 04:30:30,2,0.6238390633997692
revenge,2025-03-04 04:30:50,2025-03-04 04:36:30,9,0.7201014244439563
overtrader,2025-03-04 04:37:00,2025-03-04 04:59:20,40,0.9999999989988002
revenge,2025-03-04 05:00:20,2025-03-04 05:33:20,34,0.8007993375031849
loss_averse,2025-03-04 05:34:20,2025-03-04 05:51:20,18,0.7812632619845854
revenge,2025-03-04 05:52:20,2025-03-04 05:52:20,1,0.3467062313778666
loss_averse,2025-03-04 05:53:20,2025-03-04 05:53:20,1,0.35369986705637524
revenge,2025-03-04 05:54:20,2025-03-04 05:59:20,6,0.5466633601729993
calm,2025-03-04 06:00:20,2025-03-04 06:00:20,1,0.5212496249780783
